ข้อที่,หมวด,ด้าน,ชื่อตัวชี้วัด (ไทย),หน่วยงานรับผิดชอบ,สถานะ,คะแนน (1-5),ลิงก์หลักฐาน,หมายเหตุ,อัปเดตล่าสุด
11,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 3: การจัดการนักท่องเที่ยว,ความพึงพอใจของนักท่องเที่ยว,"สำนักงานจังหวัด, สำนักงานสถิติจังหวัด, สำนักงานการท่องเที่ยวและกีฬา, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
12,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 3: การจัดการนักท่องเที่ยว,การบริหารจำนวนนักท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานวัฒนธรรม, สำนักงานการท่องเที่ยวและกีฬา, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
13,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 3: การจัดการนักท่องเที่ยว,การจัดการการเคลื่อนตัวของนักท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานวัฒนธรรม, สำนักงานการท่องเที่ยวและกีฬา",ยังไม่เริ่ม,,,,
14,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 3: การจัดการนักท่องเที่ยว,พฤติกรรมของนักท่องเที่ยวในพื้นที่เปราะบาง,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานประชาสัมพันธ์จังหวัด",ยังไม่เริ่ม,,,,
15,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 4: การติดตามตรวจสอบและการรายงาน,ตัวชี้วัดและการติดตามด้านความยั่งยืน,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
16,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 4: การติดตามตรวจสอบและการรายงาน,การทบทวนและประเมินผล,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
17,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 4: การติดตามตรวจสอบและการรายงาน,การรายงานความยั่งยืนสู่สาธารณะ,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สนง.สิ่งแวดล้อมและควบคุมมลพิษที่ 4, สนง.ทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, สำนักงานประชาสัมพันธ์จังหวัด",ยังไม่เริ่ม,,,,
18,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 4: การติดตามตรวจสอบและการรายงาน,ข้อร้องเรียนจากการเข้าการรับรองมาตรฐาน,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
19,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 5: การปฏิบัติตามกฎหมายและจริยธรรม,หลักจริยธรรมและการป้องกันการทุจริต,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
20,หมวด 1: การจัดการแหล่งท่องเที่ยว,ด้านที่ 5: การปฏิบัติตามกฎหมายและจริยธรรม,การจัดซื้อและการแข่งขันอย่างเป็นธรรม,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด",ยังไม่เริ่ม,,,,
21,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 1: ธรรมชาติและการอนุรักษ์,การอนุรักษ์ธรรมชาติ,"สำนักงานจังหวัด, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, สำนักงานประมงจังหวัด, โครงการชลประทานอุทัยธานี",ยังไม่เริ่ม,,,,
22,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 1: ธรรมชาติและการอนุรักษ์,การตอบสนองต่อผลกระทบทางธรรมชาติอันเกิดจากการท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานสถิติจังหวัด",ยังไม่เริ่ม,,,,
23,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 1: ธรรมชาติและการอนุรักษ์,การปกป้องทรัพยากรทางธรรมชาติ,"เทศบาลเมืองอุทัยธานี, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานประมงจังหวัด, สนง.โยธาธิการและผังเมือง, สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัด",ยังไม่เริ่ม,,,,
24,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 1: ธรรมชาติและการอนุรักษ์,สิ่งมีชีวิตพันธุ์ต่างถิ่นที่รุกราน,"เทศบาลเมืองอุทัยธานี, สำนักงานทรัพยากรธรรมชาติฯ, สนง.โยธาธิการและผังเมือง, สำนักงานประมงจังหวัด, สำนักงานส่งเสริมการปกครองท้องถิ่น, องค์การบริหารส่วนจังหวัด",ยังไม่เริ่ม,,,,
25,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 1: ธรรมชาติและการอนุรักษ์,ภูมิทัศน์และทัศนียภาพ,"สำนักงานจังหวัดอุทัยธานี, สนง.โยธาธิการและผังเมืองอุทัยธานี",ยังไม่เริ่ม,,,,
26,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 2: ประสบการณ์ด้านสัตว์และธรรมชาติ,การปกป้องสิ่งมีชีวิตในธรรมชาติ,"สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, ที่ทำการปกครองจังหวัด, สำนักงานประมงจังหวัด, อำเภอเมืองอุทัยธานี, โครงการชลประทานอุทัยธานี, สำนักงานพระพุทธศาสนาจังหวัด, สำนักงานปศุสัตว์จังหวัด",ยังไม่เริ่ม,,,,
27,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 2: ประสบการณ์ด้านสัตว์และธรรมชาติ,การมีปฏิสัมพันธ์กับธรรมชาติและสิ่งมีชีวิต,"สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, ที่ทำการปกครองจังหวัด, สำนักงานประมงจังหวัด, อำเภอเมืองอุทัยธานี, โครงการชลประทานอุทัยธานี, สำนักงานพระพุทธศาสนาจังหวัด, สำนักงานปศุสัตว์จังหวัด",ยังไม่เริ่ม,,,,
28,หมวด 2: ธรรมชาติและทัศนียภาพ,ด้านที่ 2: ประสบการณ์ด้านสัตว์และธรรมชาติ,สวัสดิภาพของสัตว์ที่มีการควบคุมบริเวณ,"สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, ที่ทำการปกครองจังหวัด, สำนักงานประมงจังหวัด, อำเภอเมืองอุทัยธานี, โครงการชลประทานอุทัยธานี, สำนักงานพระพุทธศาสนาจังหวัด, สำนักงานปศุสัตว์จังหวัด",ยังไม่เริ่ม,,,,
29,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 1: การใช้ที่ดินและมลพิษ,มลภาวะทางเสียง,"เทศบาลเมืองอุทัยธานี, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด, อำเภอเมืองอุทัยธานี",ยังไม่เริ่ม,,,,
30,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 1: การใช้ที่ดินและมลพิษ,มลภาวะทางแสง,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
31,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 1: การใช้ที่ดินและมลพิษ,การวางแผนและการใช้ที่ดิน,"เทศบาลเมืองอุทัยธานี, สำนักงานโยธาธิการและผังเมืองอุทัยธานี, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานส่งเสริมการปกครองท้องถิ่น, ที่ทำการปกครองจังหวัด, อำเภอเมืองอุทัยธานี",ยังไม่เริ่ม,,,,
32,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 2: การจัดการน้ำ,แหล่งน้ำ,"สำนักงานเกษตรและสหกรณ์จังหวัด, สำนักงานเกษตรจังหวัด, สำนักงานประมงจังหวัด, โครงการชลประทานอุทัยธานี, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัด",ยังไม่เริ่ม,,,,
33,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 2: การจัดการน้ำ,การลดการใช้น้ำ,"เทศบาลเมืองอุทัยธานี, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
34,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 2: การจัดการน้ำ,การติดตามตรวจสอบและตอบสนองต่อคุณภาพน้ำ,"สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, สำนักงานทรัพยากรธรรมชาติฯ, โครงการชลประทานอุทัยธานี, สำนักงานจังหวัด",ยังไม่เริ่ม,,,,
35,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 2: การจัดการน้ำ,การบำบัดน้ำเสีย,"เทศบาลเมืองอุทัยธานี, องค์การบำบัดน้ำเสีย, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด, สำนักงานจังหวัด",ยังไม่เริ่ม,,,,
36,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 3: ขยะและการรีไซเคิล,การลดปริมาณขยะ,"เทศบาลเมืองอุทัยธานี, สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานส่งเสริมการปกครองท้องถิ่น, องค์การบริหารส่วนจังหวัด",ยังไม่เริ่ม,,,,
37,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 3: ขยะและการรีไซเคิล,การแยกและรีไซเคิลขยะ,"เทศบาลเมืองอุทัยธานี, สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานส่งเสริมการปกครองท้องถิ่น, องค์การบริหารส่วนจังหวัด",ยังไม่เริ่ม,,,,
38,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 3: ขยะและการรีไซเคิล,การกำจัดขยะ,"เทศบาลเมืองอุทัยธานี, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด",ยังไม่เริ่ม,,,,
39,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 3: ขยะและการรีไซเคิล,การทิ้งขยะในที่สาธารณะ,"เทศบาลเมืองอุทัยธานี, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด, สำนักงานพระพุทธศาสนาจังหวัด",ยังไม่เริ่ม,,,,
40,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 4: พลังงาน พาหนะที่ยั่งยืน และการเปลี่ยนแปลงภูมิอากาศ,การบรรเทาการปลดปล่อยก๊าซเรือนกระจกและการเปลี่ยนแปลงของสภาพภูมิอากาศ,"สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด",ยังไม่เริ่ม,,,,
41,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 4: พลังงาน พาหนะที่ยั่งยืน และการเปลี่ยนแปลงภูมิอากาศ,การลดการปล่อยมลพิษจากการเดินทาง,"เทศบาลเมืองอุทัยธานี, สำนักงานท่องเที่ยวและกีฬาจังหวัด, สำนักงานขนส่งจังหวัด, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
42,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 4: พลังงาน พาหนะที่ยั่งยืน และการเปลี่ยนแปลงภูมิอากาศ,การเดินทางที่มีผลกระทบต่ำ,"เทศบาลเมืองอุทัยธานี, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
43,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 4: พลังงาน พาหนะที่ยั่งยืน และการเปลี่ยนแปลงภูมิอากาศ,ขนส่งสาธารณะ,"เทศบาลเมืองอุทัยธานี, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
44,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 4: พลังงาน พาหนะที่ยั่งยืน และการเปลี่ยนแปลงภูมิอากาศ,การลดการใช้พลังงาน,"เทศบาลเมืองอุทัยธานี, สำนักงานพลังงานจังหวัดอุทัยธานี",ยังไม่เริ่ม,,,,
45,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 4: พลังงาน พาหนะที่ยั่งยืน และการเปลี่ยนแปลงภูมิอากาศ,พลังงานหมุนเวียน,"สำนักงานพลังงานจังหวัดอุทัยธานี, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด",ยังไม่เริ่ม,,,,
46,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 4: พลังงาน พาหนะที่ยั่งยืน และการเปลี่ยนแปลงภูมิอากาศ,การชดเชยการปลดปล่อยคาร์บอนอย่างมีประสิทธิผล,"สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด",ยังไม่เริ่ม,,,,
47,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 5: การปรับตัวกับความเปลี่ยนแปลงของสภาพภูมิอากาศ,การตอบสนองต่อความเสี่ยงจากสภาพภูมิอากาศ,"สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4",ยังไม่เริ่ม,,,,
48,หมวด 3: สิ่งแวดล้อมและสภาพภูมิอากาศ,ด้านที่ 5: การปรับตัวกับความเปลี่ยนแปลงของสภาพภูมิอากาศ,ข้อมูลการเปลี่ยนแปลงสภาพภูมิอากาศ,"สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4",ยังไม่เริ่ม,,,,
49,หมวด 4: วัฒนธรรมและประเพณี,ด้านที่ 1: มรดกทางวัฒนธรรม,มรดกวัฒนธรรมที่จับต้องได้,"สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานวัฒนธรรมจังหวัด, สำนักงานโยธาธิการและผังเมืองจังหวัด, สำนักงานพระพุทธศาสนาจังหวัด",ยังไม่เริ่ม,,,,
50,หมวด 4: วัฒนธรรมและประเพณี,ด้านที่ 1: มรดกทางวัฒนธรรม,การจัดการผลกระทบทางวัฒนธรรมอันเกิดจากการท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานวัฒนธรรมจังหวัด",ยังไม่เริ่ม,,,,
51,หมวด 4: วัฒนธรรมและประเพณี,ด้านที่ 1: มรดกทางวัฒนธรรม,การปกป้องสิ่งประดิษฐ์ทางวัฒนธรรม,"เทศบาลเมืองอุทัยธานี, สำนักศิลปากรที่ 4 ลพบุรี, สำนักงานวัฒนธรรมจังหวัด, สำนักงานส่งเสริมการปกครองท้องถิ่น, ที่ทำการปกครองจังหวัด, อำเภอเมืองอุทัยธานี",ยังไม่เริ่ม,,,,
52,หมวด 4: วัฒนธรรมและประเพณี,ด้านที่ 2: ผู้คนและประเพณี,มรดกวัฒนธรรมที่จับต้องไม่ได้,"สำนักงานวัฒนธรรมจังหวัดอุทัยธานี, สำนักงานพระพุทธศาสนาจังหวัด",ยังไม่เริ่ม,,,,
53,หมวด 4: วัฒนธรรมและประเพณี,ด้านที่ 2: ผู้คนและประเพณี,การเคารพในความจริงแท้,"เทศบาลเมืองอุทัยธานี, สำนักงานวัฒนธรรมจังหวัด, สำนักศิลปากรที่ 4 ลพบุรี, สำนักงานส่งเสริมการเรียนรู้จังหวัด, ศูนย์วงเดือน อาคมสุรทัณฑ์",ยังไม่เริ่ม,,,,
54,หมวด 4: วัฒนธรรมและประเพณี,ด้านที่ 2: ผู้คนและประเพณี,ทรัพย์สินทางปัญญาของชาวพื้นเมือง,"เทศบาลเมืองอุทัยธานี, สำนักงานประมงจังหวัด, สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด, สำนักงานส่งเสริมการปกครองท้องถิ่น, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
55,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 1: การเคารพในความเป็นมนุษย์,การให้ย้ายถิ่นฐาน,"เทศบาลเมืองอุทัยธานี, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด, สำนักงานโยธาธิการและผังเมืองจังหวัด",ยังไม่เริ่ม,,,,
56,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 1: การเคารพในความเป็นมนุษย์,สิทธิในการเข้าถึงที่ดินและทรัพยากร,"เทศบาลเมืองอุทัยธานี, สำนักงานโยธาธิการและผังเมืองจังหวัด, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด",ยังไม่เริ่ม,,,,
57,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 1: การเคารพในความเป็นมนุษย์,สิทธิการเข้าถึงวิถีปกติ,"เทศบาลเมืองอุทัยธานี, สำนักงานวัฒนธรรมจังหวัด",ยังไม่เริ่ม,,,,
58,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 1: การเคารพในความเป็นมนุษย์,สิทธิมนุษยชน,"เทศบาลเมืองอุทัยธานี, สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด, สำนักงานโยธาธิการและผังเมืองจังหวัด, สำนักงานพัฒนาชุมชนจังหวัด, ที่ทำการปกครองจังหวัด",ยังไม่เริ่ม,,,,
59,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 1: การเคารพในความเป็นมนุษย์,การสื่อสารกฎหมายที่เกี่ยวกับสิทธิมนุษยชนสู่สาธารณะ,"เทศบาลเมืองอุทัยธานี, สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด, ที่ทำการปกครองจังหวัด, สำนักงานจังหวัด",ยังไม่เริ่ม,,,,
60,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 1: การเคารพในความเป็นมนุษย์,การเข้าถึงสำหรับคนทั้งมวล,"เทศบาลเมืองอุทัยธานี, สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัด, สำนักงานโยธาธิการและผังเมืองจังหวัด",ยังไม่เริ่ม,,,,
61,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 2: การมีส่วนร่วมของชุมชน,ชุมชนมีส่วนร่วมในการวางแผน,"เทศบาลเมืองอุทัยธานี, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, สำนักงานจังหวัด",ยังไม่เริ่ม,,,,
62,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 2: การมีส่วนร่วมของชุมชน,การเข้ามามีส่วนร่วมและข้อเสนอแนะของผู้อยู่อาศัย,"เทศบาลเมืองอุทัยธานี, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด",ยังไม่เริ่ม,,,,
63,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 2: การมีส่วนร่วมของชุมชน,ความช่วยเหลือจากภาคีเครือข่าย,"เทศบาลเมืองอุทัยธานี, สำนักงานพาณิชย์จังหวัด, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
64,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 2: การมีส่วนร่วมของชุมชน,ความพึงพอใจของผู้อยู่อาศัย,"ที่ทำการปกครองจังหวัดอุทัยธานี, สำนักงานสถิติจังหวัด",ยังไม่เริ่ม,,,,
65,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 3: เศรษฐกิจชุมชน,การติดตามตรวจสอบผลกระทบในเชิงเศรษฐกิจ,"ที่ทำการปกครองจังหวัดอุทัยธานี, สำนักงานสถิติจังหวัด",ยังไม่เริ่ม,,,,
66,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 3: เศรษฐกิจชุมชน,การสนับสนุนผู้ประกอบการท้องถิ่น,"เทศบาลเมืองอุทัยธานี, ผู้ประกอบการ/หอการค้าจังหวัด/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
67,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 3: เศรษฐกิจชุมชน,การส่งเสริมสินค้าและบริการท้องถิ่น,"เทศบาลเมืองอุทัยธานี, สำนักงานเกษตรและสหกรณ์จังหวัด, สำนักงานเกษตรจังหวัด, สำนักงานพาณิชย์จังหวัด, สำนักงานจังหวัด",ยังไม่เริ่ม,,,,
68,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 3: เศรษฐกิจชุมชน,การส่งเสริมการจ้างงานด้านการท่องเที่ยวในท้องถิ่น,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานการท่องเที่ยวและกีฬาจังหวัด, ททท.สำนักงานอุทัยธานี, สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
69,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 4: ผลกระทบการสังคม-เศรษฐกิจ,การหลีกเลี่ยงสภาวะจำนวนนักท่องเที่ยวเกินขีดจำกัด,"สำนักงานสถิติจังหวัด, สำนักงานการท่องเที่ยวและกีฬาจังหวัด, ททท.สำนักงานอุทัยธานี, สำนักงานจังหวัด",ยังไม่เริ่ม,,,,
70,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 4: ผลกระทบการสังคม-เศรษฐกิจ,การใช้อสังหาริมทรัพย์โดยมิชอบ,"เทศบาลเมืองอุทัยธานี, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด, สำนักงานสาธารณสุขจังหวัด",ยังไม่เริ่ม,,,,
71,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 5: สุขภาพและความปลอดภัย,สุขภาพและความปลอดภัย,"สำนักงานสาธารณสุขจังหวัด, สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัด, สถานีตำรวจภูธรเมืองอุทัยธานี, ที่ทำการปกครองจังหวัด, อำเภอเมืองอุทัยธานี",ยังไม่เริ่ม,,,,
72,หมวด 5: ความเป็นอยู่ที่ดีของคนในสังคม,ด้านที่ 5: สุขภาพและความปลอดภัย,การจัดการความเสี่ยงและวิกฤตการณ์,"เทศบาลเมืองอุทัยธานี, ที่ทำการปกครองจังหวัด, สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัด, อำเภอเมืองอุทัยธานี",ยังไม่เริ่ม,,,,
73,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,การส่งเสริมความยั่งยืนในหมู่ผู้ประกอบการ,"สำนักงานการท่องเที่ยวและกีฬาจังหวัด, ททท.สำนักงานอุทัยธานี, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
